,Compound,Date,Negative,Neutral,Positive,Source,Text
54,0.0,2018-03-27 00:15:06,1.0,0.0,0.0,CNN,Wall Street's head-spinning reaction to trade headlines https://t.co/wHPLURl5BV https://t.co/i1AJ0jPopN
154,0.0,2018-03-27 00:15:06,1.0,0.0,0.0,CNN,Wall Street's head-spinning reaction to trade headlines https://t.co/wHPLURl5BV https://t.co/i1AJ0jPopN
83,0.5267,2018-03-27 00:17:05,0.812,0.0,0.188,nytimes,The Getty Conservation Institute helps solve the mystery of brown spots in King Tut’s burial chamber once and for a… https://t.co/HstzedLBAa
183,0.5267,2018-03-27 00:17:05,0.812,0.0,0.188,nytimes,The Getty Conservation Institute helps solve the mystery of brown spots in King Tut’s burial chamber once and for a… https://t.co/HstzedLBAa
53,-0.3818,2018-03-27 00:22:00,0.86,0.14,0.0,CNN,"Jared Kushner’s meetings are under investigation for potential conflicts, a letter from the Office of Government Et… https://t.co/kUglZm2CcE"
153,-0.3818,2018-03-27 00:22:00,0.86,0.14,0.0,CNN,"Jared Kushner’s meetings are under investigation for potential conflicts, a letter from the Office of Government Et… https://t.co/kUglZm2CcE"
164,-0.4151,2018-03-27 00:22:07,0.692,0.198,0.11,FoxNews,"EXCLUSIVE: American who escaped Al Qaeda captivity says FBI, under Mueller and Comey, betrayed him https://t.co/gA8TqBGZu9"
64,-0.4151,2018-03-27 00:22:07,0.692,0.198,0.11,FoxNews,"EXCLUSIVE: American who escaped Al Qaeda captivity says FBI, under Mueller and Comey, betrayed him https://t.co/gA8TqBGZu9"
152,-0.6486,2018-03-27 00:25:04,0.694,0.306,0.0,CNN,Mueller's critics are wrong about his role | By Michael Zeldin via @CNNOpinion https://t.co/5oN0lvV3nV https://t.co/LzDb4qcuAt
52,-0.6486,2018-03-27 00:25:04,0.694,0.306,0.0,CNN,Mueller's critics are wrong about his role | By Michael Zeldin via @CNNOpinion https://t.co/5oN0lvV3nV https://t.co/LzDb4qcuAt
151,-0.6808,2018-03-27 00:30:16,0.728,0.272,0.0,CNN,Killer Mike posted two videos on Sunday apologizing for a video interview he did with the NRA… https://t.co/V3cMEoDV0W
51,-0.6808,2018-03-27 00:30:16,0.728,0.272,0.0,CNN,Killer Mike posted two videos on Sunday apologizing for a video interview he did with the NRA… https://t.co/V3cMEoDV0W
